City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,edinburgh of the seven seas,-37.0676,-12.3116,13.29,79,100,10.0,SH,1694462927
84,callao,-12.0667,-77.15,22.62,77,100,7.2,PE,1694462828
85,tinghir,31.5157,-5.5343,26.76,18,12,3.25,MA,1694462927
86,morondava,-20.2833,44.2833,23.82,86,0,0.93,MG,1694462927
87,ketchikan,55.3422,-131.6461,13.26,88,100,7.72,US,1694462928
88,baiti,13.745,-14.7482,25.53,90,100,1.87,SN,1694462928
89,badger,64.8,-147.5333,8.32,94,100,2.57,US,1694462928
90,orsa,54.5153,30.4053,14.0,68,0,3.02,BY,1694462928
91,isafjordur,66.0755,-23.124,6.5,57,3,0.71,IS,1694462928
92,las tablas,7.7667,-80.2833,28.99,99,100,1.31,PA,1694462929
93,fortuna,40.5982,-124.1573,20.52,87,100,5.14,US,1694462929
94,haiku-pauwela,20.9219,-156.3051,29.01,55,20,10.8,US,1694462929
95,la ronge,55.1001,-105.2842,17.74,38,10,4.22,CA,1694462929
96,nantucket,41.2835,-70.0995,24.52,100,75,2.57,US,1694462639
97,aasiaat,68.7098,-52.8699,2.58,83,100,4.32,GL,1694462930
98,lebu,-37.6167,-73.65,11.09,72,63,2.71,CL,1694462930
99,olonkinbyen,70.9221,-8.7187,2.96,76,100,6.12,SJ,1694462930
100,mpulungu,-8.7623,31.1141,25.45,59,26,1.72,ZM,1694462930
101,katsuren-haebaru,26.3369,127.8719,27.01,88,0,2.57,JP,1694462931
102,iskateley,67.6803,53.1512,9.92,90,46,2.29,RU,1694462933
103,port mathurin,-19.6833,63.4167,22.74,77,63,10.44,MU,1694462933
104,fale old settlement,-9.3852,-171.2468,27.7,78,45,5.41,TK,1694462933
105,tomohon,1.3346,124.8392,18.52,90,83,1.39,ID,1694462933
106,eyl,7.9803,49.8164,26.34,77,56,10.41,SO,1694462933
107,dien bien phu,21.3833,103.0167,22.96,100,100,0.37,VN,1694462934
108,port elizabeth,-33.918,25.5701,9.16,76,75,3.09,ZA,1694462934
109,tiksi,71.6872,128.8694,3.45,82,26,7.57,RU,1694462934
110,petropavlovsk-kamchatsky,53.0452,158.6483,6.33,93,0,6.0,RU,1694462934
111,ust-nera,64.5667,143.2,-1.1,86,21,2.5,RU,1694462934
112,chengyang,27.0892,119.6453,21.79,95,91,0.8,CN,1694462935
113,flying fish cove,-10.4217,105.6791,23.82,94,100,5.66,CX,1694462935
114,blackmans bay,-43.0167,147.3167,8.62,83,100,2.41,AU,1694462935
115,mount gambier,-37.8333,140.7667,8.77,81,50,3.31,AU,1694462935
116,holualoa,19.6228,-155.9522,25.91,83,40,3.6,US,1694462936
117,kapuskasing,49.4169,-82.4331,11.05,82,100,5.14,CA,1694462936
118,alice springs,-23.7,133.8833,2.75,48,0,0.0,AU,1694462782
119,new norfolk,-42.7826,147.0587,9.28,95,98,1.02,AU,1694462936
120,lakota,5.8528,-5.6883,22.87,95,10,1.4,CI,1694462937
121,conduaga,8.862,117.4893,26.43,82,99,0.77,PH,1694462937
122,smirnovo,54.5125,69.4222,13.72,59,100,8.97,KZ,1694462937
123,crane,31.3974,-102.3501,36.01,24,36,6.99,US,1694462937
124,bilibino,68.0546,166.4372,4.37,74,15,0.78,RU,1694462938
125,sarina,-21.4333,149.2167,17.01,78,55,6.31,AU,1694462938
