City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,longyearbyen,78.2186,15.6401,3.91,81,75,8.23,SJ,1694280826
83,chela,34.069,104.4619,14.38,88,100,0.29,CN,1694280826
84,havre,49.5833,0.3333,29.63,65,0,3.09,FR,1694280826
85,zherdevka,51.8486,41.4606,11.07,75,88,5.22,RU,1694280826
86,inyati,-19.6756,28.8469,20.16,20,0,3.67,ZW,1694280826
87,west island,-12.1568,96.8225,24.99,78,75,4.12,CC,1694280827
88,codrington,-38.2667,141.9667,8.82,84,86,4.08,AU,1694280827
89,kapuskasing,49.4169,-82.4331,19.05,42,40,2.57,CA,1694280722
90,inhapim,-19.5492,-42.12,27.33,34,3,3.32,BR,1694280827
91,tiksi,71.6872,128.8694,1.79,79,100,3.04,RU,1694280827
92,morehead city,34.7229,-76.726,30.58,79,100,4.92,US,1694280748
93,kavieng,-2.5744,150.7967,27.51,78,96,5.63,PG,1694280828
94,afaahiti,-17.75,-149.2833,23.93,83,46,5.33,PF,1694280828
95,aasiaat,68.7098,-52.8699,1.82,86,85,3.87,GL,1694280828
96,zhukovka,53.534,33.728,10.5,71,5,3.12,RU,1694280829
97,hermanus,-34.4187,19.2345,16.56,75,1,12.25,ZA,1694280829
98,kasongo-lunda,-6.4667,16.8167,30.3,42,100,4.0,CD,1694280829
99,qaqortoq,60.7167,-46.0333,8.01,43,0,1.6,GL,1694280829
100,uturoa,-16.7333,-151.4333,25.94,79,9,6.39,PF,1694280829
101,weining,26.85,104.2333,14.57,94,13,0.89,CN,1694280830
102,puerto aysen,-45.4,-72.7,5.74,100,100,2.86,CL,1694280830
103,kodinsk,58.6881,99.1844,7.12,61,100,1.05,RU,1694280830
104,chonchi,-42.6128,-73.8092,12.29,88,78,4.59,CL,1694280830
105,alice springs,-23.7,133.8833,14.75,53,61,25.48,AU,1694280830
106,panguipulli,-39.6333,-72.3333,12.73,69,78,1.99,CL,1694280831
107,cumbum,9.7333,77.3,23.74,87,80,4.18,IN,1694280831
108,inhambane,-23.865,35.3833,20.11,80,0,4.47,MZ,1694280831
109,port mathurin,-19.6833,63.4167,22.67,68,2,7.46,MU,1694280831
110,tanabe,33.7333,135.3667,24.64,79,98,2.57,JP,1694280831
111,grand ledge,42.7534,-84.7464,20.59,63,100,1.54,US,1694280831
112,badger,64.8,-147.5333,13.14,78,75,4.12,US,1694280832
113,whitehorse,60.7161,-135.0538,12.28,65,75,5.66,CA,1694280832
114,najran,17.4924,44.1277,32.36,17,8,1.48,SA,1694280832
115,yellowknife,62.456,-114.3525,18.01,64,20,2.06,CA,1694280626
116,tsiombe,-25.3,45.4833,21.89,83,2,3.84,MG,1694280832
117,i-n-salah,27.1935,2.4607,40.0,12,70,3.86,DZ,1694280833
118,st. john's,47.5649,-52.7093,19.26,89,100,2.24,CA,1694280560
119,kailua-kona,19.6406,-155.9956,26.95,74,20,2.57,US,1694280833
120,coahuayana de hidalgo,18.7,-103.6583,33.64,52,15,3.24,MX,1694280833
121,san pedro,14.35,121.0167,27.97,91,20,2.06,PH,1694280834
122,khandyga,62.6667,135.6,1.17,98,100,1.14,RU,1694280834
123,bristol,41.8334,-71.1662,31.28,70,20,4.12,US,1694280834
124,santa marta de ortigueira,43.6833,-7.85,20.7,81,96,3.18,ES,1694280834
125,wailua homesteads,22.0669,-159.378,23.19,90,75,3.09,US,1694280834
